Date,NASDAK
2006/1/23,"2,248.47"
2006/1/24,"2,265.25"
2006/1/25,"2,260.65"
2006/1/26,"2,283.00"
2006/1/27,"2,304.23"
2006/1/30,"2,306.78"
2006/1/31,"2,305.82"
2006/2/1,"2,310.56"
2006/2/2,"2,281.57"
2006/2/3,"2,262.58"
2006/2/6,"2,258.80"
2006/2/7,"2,244.96"
2006/2/8,"2,266.98"
2006/2/9,"2,255.87"
2006/2/10,"2,261.88"
2006/2/13,"2,239.81"
2006/2/14,"2,262.17"
2006/2/15,"2,276.43"
2006/2/16,"2,294.63"
2006/2/17,"2,282.36"
2006/2/21,"2,262.96"
2006/2/22,"2,283.17"
2006/2/23,"2,279.32"
2006/2/24,"2,287.04"
2006/2/27,"2,307.18"
2006/2/28,"2,281.39"
2006/3/1,"2,314.64"
2006/3/2,"2,311.11"
2006/3/3,"2,302.60"
2006/3/6,"2,286.03"
2006/3/7,"2,268.38"
2006/3/8,"2,267.46"
2006/3/9,"2,249.72"
2006/3/10,"2,262.04"
2006/3/13,"2,267.03"
2006/3/14,"2,295.90"
2006/3/15,"2,311.84"
2006/3/16,"2,299.56"
2006/3/17,"2,306.48"
2006/3/20,"2,314.11"
2006/3/21,"2,294.23"
2006/3/22,"2,303.35"
2006/3/23,"2,300.15"
2006/3/24,"2,312.82"
2006/3/27,"2,315.58"
2006/3/28,"2,304.46"
2006/3/29,"2,337.78"
2006/3/30,"2,340.82"
2006/3/31,"2,339.79"
2006/4/3,"2,336.74"
2006/4/4,"2,345.36"
2006/4/5,"2,359.75"
2006/4/6,"2,361.17"
2006/4/7,"2,339.02"
2006/4/10,"2,333.27"
2006/4/11,"2,310.35"
2006/4/12,"2,314.68"
2006/4/13,"2,326.11"
2006/4/17,"2,311.16"
2006/4/18,"2,356.14"
2006/4/19,"2,370.88"
2006/4/20,"2,362.55"
2006/4/21,"2,342.86"
2006/4/24,"2,333.38"
2006/4/25,"2,330.30"
2006/4/26,"2,333.63"
2006/4/27,"2,344.95"
2006/4/28,"2,322.57"
2006/5/1,"2,304.79"
2006/5/2,"2,309.84"
2006/5/3,"2,303.97"
2006/5/4,"2,323.90"
2006/5/5,"2,342.57"
2006/5/8,"2,344.99"
2006/5/9,"2,338.25"
2006/5/10,"2,320.74"
2006/5/11,"2,272.70"
2006/5/12,"2,243.78"
2006/5/15,"2,238.52"
